Front,Back
"Field Properties: What are the five fundamental properties that define a field?","Addition and multiplication are commutative; both operations are associative; multiplication distributes over addition; there exist additive and multiplicative identities; every element has an additive inverse and every nonzero element has a multiplicative inverse."
"Supremum Definition: What does it mean for a real number to be the supremum of a set?","A real number is the supremum of a set if it is an upper bound for the set, and no number smaller than it is also an upper bound. In other words, it is the least upper bound."
"Mathematical Induction: What are the two key components needed for a proof by mathematical induction?","First, you must prove the base case - that the statement is true for the initial value. Second, you must prove the inductive step - that if the statement is true for some integer n, then it is also true for n plus one."
"Sequence Convergence: When do we say that a sequence converges to a limit?","A sequence converges to a limit L if for every positive number epsilon, there exists a positive integer N such that all terms beyond the Nth term are within epsilon distance of L."
"Limit Superior and Inferior: How are the limit superior and limit inferior of a sequence defined?","The limit superior is the limit of the sequence of suprema of tail sets, while the limit inferior is the limit of the sequence of infima of tail sets. They capture the eventual upper and lower bounds of sequence behavior."
"Function Limit: What does it mean for a function to approach a limit L as x approaches a point?","The function approaches limit L as x approaches a point if the function values can be made arbitrarily close to L by taking x sufficiently close to the point, regardless of the function value at that point."
"Continuity: When is a function continuous at a point?","A function is continuous at a point if the limit of the function as we approach that point equals the function value at that point. Equivalently, small changes in input produce small changes in output."
"Intermediate Value Theorem: What does the Intermediate Value Theorem guarantee?","If a function is continuous on a closed interval and takes on two different values at the endpoints, then it must take on every value between those two values at some point in the interval."
"Derivative Definition: How is the derivative of a function defined?","The derivative at a point is the limit of the difference quotient as the change in input approaches zero. It represents the instantaneous rate of change or the slope of the tangent line."
"Mean Value Theorem: What does the Mean Value Theorem state?","If a function is continuous on a closed interval and differentiable on the open interval, then there exists at least one point where the instantaneous rate of change equals the average rate of change over the entire interval."
"Series Convergence: When does an infinite series converge?","An infinite series converges if the sequence of its partial sums converges to a finite limit. This means the sum of all terms approaches a definite finite value."
"Absolute Convergence: What is the difference between absolute and conditional convergence of a series?","A series converges absolutely if the series of absolute values of its terms converges. A series converges conditionally if it converges but does not converge absolutely. Absolute convergence is stronger than conditional convergence."
"Uniform Convergence: How does uniform convergence differ from pointwise convergence?","Pointwise convergence means the sequence converges at each individual point. Uniform convergence means the sequence converges at the same rate everywhere - the convergence is uniform across the entire domain."
"Power Series: What is a power series and what determines where it converges?","A power series is an infinite series where each term contains a variable raised to increasing powers. The radius of convergence determines the interval where the series converges, found using the ratio test or root test."
"Taylor Series: What is the purpose of a Taylor series?","A Taylor series represents a function as an infinite sum of terms calculated from the function's derivatives at a single point. It allows us to approximate complicated functions using polynomials."
"Cauchy Convergence Criterion: What does the Cauchy convergence criterion tell us about sequences?","A sequence converges if and only if it is Cauchy - meaning that terms of the sequence get arbitrarily close to each other as we go far enough out in the sequence, regardless of what they converge to."
"Monotonic Sequences: What special property do bounded monotonic sequences have?","Every bounded monotonic sequence converges. If a sequence is increasing and bounded above, it converges to its supremum. If decreasing and bounded below, it converges to its infimum."
"Completeness Axiom: What does the completeness axiom say about the real numbers?","Every nonempty set of real numbers that is bounded above has a supremum (least upper bound). This property distinguishes the real numbers from the rational numbers and ensures no ""gaps"" exist."
"Comparison Test: How does the comparison test work for series?","If you have a series with nonnegative terms that are each smaller than or equal to the corresponding terms of a known convergent series, then your series also converges. If your terms are larger than those of a known divergent series, your series diverges."
"Ratio Test: When does the ratio test tell us a series converges or diverges?","If the limit of the ratio of consecutive terms is less than one, the series converges absolutely. If the limit is greater than one, the series diverges. If the limit equals one, the test is inconclusive."
"Deleted Neighborhood: What is a deleted neighborhood?","A deleted neighborhood of a point is a set that contains every point of some neighborhood of that point except for the point itself. For example, all points within a certain distance of a point, but not including the point itself."
"Field: What is a field?","A field is a set with two operations (addition and multiplication) that satisfy five key properties: both operations are commutative and associative, multiplication distributes over addition, there exist additive and multiplicative identity elements, and every element has an additive inverse while every nonzero element has a multiplicative inverse."
"Supremum: What is the supremum of a set?","The supremum of a set is the least upper bound. It is an upper bound for the set, but no number smaller than it is also an upper bound. The supremum may or may not actually belong to the set."
"Infimum: What is the infimum of a set?","The infimum of a set is the greatest lower bound. It is a lower bound for the set, but no number larger than it is also a lower bound. The infimum may or may not actually belong to the set."
"Divergence Test: What does the divergence test tell us?","If the terms of a series don't approach zero, then the series must diverge. This is only useful for proving divergence - if the terms do approach zero, the test tells us nothing about whether the series converges or diverges."
"Comparison Test: How does the comparison test work?","If you have a series with positive terms that are always smaller than the terms of a known convergent series, then your series converges too. If your terms are always larger than the terms of a known divergent series, then your series diverges."
"Limit Comparison Test: How does the limit comparison test work?","If you have two series with positive terms and the ratio of their terms approaches a positive finite limit, then both series have the same convergence behavior - they either both converge or both diverge."
"Ratio Test: How does the ratio test determine convergence?","Look at the limit of the ratio of consecutive terms. If this limit is less than one, the series converges absolutely. If greater than one, it diverges. If exactly one, the test gives no information."
"Root Test: How does the root test work?","Take the nth root of the absolute value of the nth term and find the limit. If this limit is less than one, the series converges absolutely. If greater than one, it diverges. If exactly one, the test is inconclusive."
"Integral Test: When can you use the integral test?","The integral test applies when your series terms come from a positive, decreasing function. The series and the corresponding improper integral either both converge or both diverge together."
"Alternating Series Test: What does the alternating series test require?","For an alternating series to converge, the absolute values of the terms must decrease monotonically to zero. If both conditions are met, the series converges, though not necessarily absolutely."
"Dirichlet's Test: When does Dirichlet's test apply?","Dirichlet's test works when you have a product of two sequences: one where the partial sums are bounded, and another that decreases monotonically to zero. The product series will converge."
"Abel's Test: What are the conditions for Abel's test?","Abel's test applies when you have a convergent series multiplied term-by-term with a bounded monotonic sequence. The resulting series will converge."
"Raabe's Test: When is Raabe's test useful?","Raabe's test is useful when the ratio test gives a limit of exactly one and is therefore inconclusive. It provides a more sensitive analysis by examining how quickly the ratios approach one."
"Condensation Test: How does the condensation test work?","For a decreasing sequence of positive terms, you can test convergence by looking at a ""condensed"" series where you group terms in powers of two. The original series and condensed series have the same convergence behavior."
"p-Series Test: What determines if a p-series converges?","A p-series has the form one over n to the p power. It converges if and only if p is greater than one. This is a fundamental benchmark series for comparison tests."
"Geometric Series Test: When does a geometric series converge?","A geometric series converges if and only if the absolute value of the common ratio is less than one. When it converges, the sum equals the first term divided by one minus the ratio."
"Cauchy Condensation Test: What is the Cauchy condensation test?","If you have a decreasing sequence of positive terms, you can group them by powers of two. The original series converges if and only if the condensed series converges. This is particularly useful for series like the harmonic series."
"Weierstrass M-Test: How does the Weierstrass M-test work for uniform convergence?","If you can bound each function in a series by constants that form a convergent series, then the original series of functions converges uniformly. This provides an easy way to prove uniform convergence."
"Squeeze Theorem: How does the squeeze theorem work?","If you have three functions where one is always between the other two, and the outer two approach the same limit, then the middle function must also approach that same limit. It's useful when direct computation is difficult."
"Monotone Convergence Test: What does the monotone convergence theorem state?","Every bounded monotonic sequence converges. If a sequence is increasing and has an upper bound, it converges to its supremum. If decreasing with a lower bound, it converges to its infimum."
"Dominated Convergence Principle: What is the idea behind dominated convergence?","If a sequence of functions is dominated (bounded above) by an integrable function and converges pointwise, then you can interchange the limit and integral operations. The limit of the integrals equals the integral of the limit."
"Comparison Test for Improper Integrals: How do you compare improper integrals?","If your integrand is always smaller than the integrand of a known convergent improper integral, then your integral converges too. If always larger than a known divergent integral, yours diverges."
"Limit Comparison for Improper Integrals: When can you use limit comparison for integrals?","If the ratio of two integrands approaches a positive finite limit, then both improper integrals have the same convergence behavior. This is useful when direct comparison is difficult to establish."
"Cauchy's Root Test Details: What makes the root test work?","The root test essentially compares your series to a geometric series. The nth root of the nth term tells you what the ""effective ratio"" would be if your series were geometric. Geometric series with ratio less than one converge."
"Ratio Test Limitations: When does the ratio test fail to give information?","The ratio test is inconclusive when the limit of ratios equals one, or when the limit doesn't exist. In these cases, you need more sensitive tests like Raabe's test or direct analysis of the series behavior."
